Alzheimer's Disease,is-a,Neurodegenerative Disorder
Alzheimer's Disease,may-cause,Memory Loss
Alzheimer's Disease,may-cause,Cognitive Impairment
Alzheimer's Disease,may-cause,Behavioral Changes
Alzheimer's Disease,may-cause,Language Impairment
Alzheimer's Disease,may-cause,Motor Impairment
Alzheimer's Disease,symptom,Memory Loss
Alzheimer's Disease,symptom,Cognitive Impairment
Alzheimer's Disease,symptom,Behavioral Changes
Alzheimer's Disease,symptom,Language Impairment
Alzheimer's Disease,symptom,Motor Impairment
Alzheimer's Disease,treatment,Cholinesterase Inhibitors
Alzheimer's Disease,treatment,Memantine
Alzheimer's Disease,treatment,Antipsychotics
Alzheimer's Disease,treatment,Antidepressants
Alzheimer's Disease,test,Mini-Mental State Examination
Alzheimer's Disease,test,Magnetic Resonance Imaging
Alzheimer's Disease,test,Positron Emission Tomography
Alzheimer's Disease,test,Cerebrospinal Fluid Analysis
Alzheimer's Disease,test,Neuropsychological Tests
Radiating Chest Pain,is-a,Symptom
Radiating Chest Pain,may-cause,Myocardial Infarction
Radiating Chest Pain,may-cause,Angina Pectoris
Radiating Chest Pain,may-cause,Aortic Dissection
Radiating Chest Pain,may-cause,Pulmonary Embolism
Radiating Chest Pain,may-cause,Pericarditis
Radiating Chest Pain,treatment,Nitroglycerin
Radiating Chest Pain,treatment,Aspirin
Radiating Chest Pain,treatment,Morphine
Radiating Chest Pain,treatment,Oxygen Therapy
Radiating Chest Pain,test,Electrocardiogram
Radiating Chest Pain,test,Chest X-Ray
Radiating Chest Pain,test,Computed Tomography
Radiating Chest Pain,test,Echocardiogram
Radiating Chest Pain,test,Blood Tests
Perinatal Depression,is-a,Depressive Disorder
Perinatal Depression,may-cause,Anxiety
Perinatal Depression,may-cause,Insomnia
Perinatal Depression,may-cause,Fatigue
Perinatal Depression,may-cause,Appetite Changes
Perinatal Depression,may-cause,Suicidal Ideation
Perinatal Depression,symptom,Depressed Mood
Perinatal Depression,symptom,Loss of Interest
Perinatal Depression,symptom,Guilt
Perinatal Depression,symptom,Hopelessness
Perinatal Depression,symptom,Anxiety
Perinatal Depression,treatment,Psychotherapy
Perinatal Depression,treatment,Antidepressants
Perinatal Depression,treatment,Electroconvulsive Therapy
Perinatal Depression,test,Edinburgh Postnatal Depression Scale
Perinatal Depression,test,Beck Depression Inventory
Perinatal Depression,test,Hamilton Rating Scale for Depression
Perinatal Depression,test,Structured Clinical Interview for DSM Disorders
Immobile,is-a,Physical Disability
Immobile,may-cause,Pressure Ulcer
Immobile,may-cause,Deep Vein Thrombosis
Immobile,may-cause,Muscle Atrophy
Immobile,may-cause,Contracture
Immobile,symptom,Inability to Move
Immobile,symptom,Bedridden
Immobile,symptom,Wheelchair Bound
Immobile,treatment,Physical Therapy
Immobile,treatment,Occupational Therapy
Immobile,treatment,Assistive Devices
Immobile,treatment,Surgery
Immobile,test,Range of Motion
Immobile,test,X-ray
Immobile,test,Ultrasound
Immobile,test,Computed Tomography
Immobile,test,Magnetic Resonance Imaging
Pain in Upper Limb,is-a,Pain
Pain in Upper Limb,location,Upper Limb
Pain in Upper Limb,may-cause,Numbness
Pain in Upper Limb,may-cause,Tingling Sensation
Pain in Upper Limb,may-cause,Weakness
Pain in Upper Limb,symptom,Pain
Pain in Upper Limb,treatment,Analgesics
Pain in Upper Limb,treatment,Physical Therapy
Pain in Upper Limb,treatment,Steroids
Pain in Upper Limb,test,X-Ray
